Data from phi0_circ_corrections
         X         Y        EX        EY
----------------------------------------
     25.57  6.62e-03      5.81      0.00
     29.76  5.43e-03      6.40      0.00
     34.49  4.88e-03      7.00      0.00
     39.63  5.15e-03      7.64      0.00
     45.22  6.21e-03      8.26      0.00
     51.20  8.00e-03      8.83      0.00
     57.39  1.12e-02      9.25      0.00
     63.74  1.02e-02      9.51      0.00
     70.16  7.04e-03      9.57      0.00
     76.40  5.71e-03      9.43      0.00
     82.47  5.38e-03      9.14      0.00
     88.19  0.00e+00      8.72      0.00
     93.48  3.69e-03      8.26      0.00
     98.73  4.39e-03      7.73      0.00
    103.88  3.98e-03      7.12      0.00
    109.07  3.40e-03      6.42      0.00
    117.35  0.00e+00      6.91      0.00
    121.97  0.00e+00      6.62      0.00
    126.37  0.00e+00      6.33      0.00
    130.61  1.92e-02      6.06      0.00
    134.77  1.49e-02      5.80      0.00
    138.72  4.76e-02      5.53      0.00
    142.46  6.25e-02      5.25      0.00
    145.98  4.76e-02      4.94      0.00
    149.25  0.00e+00      4.65      0.00
    152.30  7.69e-02      4.38      0.00
    155.11  7.14e-02      4.11      0.00
    157.74  7.46e-03      3.86      0.00
    160.12  1.25e-02      3.61      0.00
    162.32  7.69e-03      3.39      0.00
    164.37  6.90e-03      3.17      0.00
    166.24  5.38e-03      2.97      0.00
Data from phi90_circ_corrections
         X         Y        EX        EY
----------------------------------------
     26.27  0.00e+00      6.87      0.00
     30.41  0.00e+00      7.53      0.00
     34.97  0.00e+00      8.19      0.00
     39.98  0.00e+00      8.83      0.00
     45.35  0.00e+00      9.39      0.00
     51.03  5.62e-03      9.87      0.00
     56.92  6.54e-03     10.15      0.00
     63.05  5.32e-03     10.28      0.00
     69.18  4.78e-03     10.20      0.00
     75.37  3.77e-03      9.89      0.00
     81.39  3.50e-03      9.43      0.00
     87.22  2.13e-03      8.81      0.00
     92.70  5.78e-03      8.15      0.00
     98.09  2.85e-03      7.44      0.00
    103.32  2.51e-03      6.68      0.00
    108.57  2.98e-03      5.81      0.00
    117.76  6.85e-03      7.63      0.00
    122.24  0.00e+00      7.39      0.00
    126.52  1.14e-02      7.14      0.00
    130.63  1.16e-02      6.89      0.00
    134.67  2.04e-02      6.67      0.00
    138.57  1.96e-02      6.39      0.00
    142.23  0.00e+00      6.10      0.00
    145.69  0.00e+00      5.78      0.00
    148.93  0.00e+00      5.46      0.00
    151.96  0.00e+00      5.14      0.00
    154.74  5.56e-02      4.82      0.00
    157.34 -1.07e+02      4.51      0.00
    159.75 -1.07e+02      4.22      0.00
    162.00 -1.07e+02      3.95      0.00
    164.06 -1.07e+02      3.68      0.00
    165.98 -1.07e+02      3.42      0.00
