1970	2025	! 0
2200	1800	! 1
2200	1800	! 2
2200	1800	! 3
2200	1800	! 4
2033	2065	! 5
2055	2090	! 6
1994	2038	! 7
1980	2012	! 8
2200	1800	! 9
2033	2069	! 10
2017	2050	! 11
2052	2090	! 12
2027	2060	! 13
1976	2017	! 14
1953	1998	! 15
2014	2053	! 16
2021	2066	! 17
2023	2087	! 18
2136	2187	! 19
2187	2231	! 20
2175	2215	! 21
2200	1800	! 22
2032	2076	! 23
2310	2364	! 24
2096	2136	! 25
1997	2043	! 26
2080	2121	! 27
2023	2073	! 28
2098	2158	! 29
2227	2371	! 30
2200	1800	! 31
2284	2307	! 32
2462	2496	! 33
2200	1800	! 34
2674    2693    ! 35
2359	2379	! 36
2730    2744    ! 37
2480    2503    ! 38
2875    2897    ! 39
1405	1417	! 40
1200	1800	! 41
2200	2400	! 42
2200	1800	! 43
2200	2600	! 44
2200	2500	! 45
2350	2411	! 46
2100	2600	! 47
1000	4095	! 48
660	4095	! 49
620	4095	! 50
677	4095	! 51
590	4095	! 52
588	4095	! 53
1858	2667	! 54
1248	1324	! 55
637	3505	! 56
650	3500	! 57
650	4095	! 58
650	4095	! 59
650	4095	! 60
650	4095	! 61
1930	2138	! 62
188	4095	! 63
2200	1800	! 64
2200	1800	! 65
2200	1800	! 66
2200	1800	! 67
2200	1800	! 68
2200	1800	! 69
2200	1800	! 70
2200	1800	! 71
2200	1800	! 72
2200	1800	! 73
2200	1800	! 74
2200	1800	! 75
2200	1800	! 76
2200	1800	! 77
2200	1800	! 78
2200	1800	! 79
2200	1800	! 80
2200	1800	! 81
2200	1800	! 82
2200	1800	! 83
2200	1800	! 84
2200	1800	! 85
2200	1800	! 86
2200	1800	! 87
2200	1800	! 88
2200	1800	! 89
2200	1800	! 90
2200	1800	! 91
2200	1800	! 92
2200	1800	! 93
2200	1800	! 94
2200	1800	! 95
