b 	m	index	ub	um	xs	
-2.0567	0.0166287	0	0.108464	0.000189011	0.00047186	
0	0	1				
0	0	2				
0	0	3				
0	0	4				
-1.6656		0.0148361	5	0.137171	0.000241339	0.00635409
-2.68143	0.0180407	6	0.0710434	0.000135929	0.00136375
-2.14576	0.0177394	7	0.147477	0.000271644	0.000856311	
-1.98812	0.0159578	8	0.139566	0.000235076	0.000792476	
0	0	9				
0	0	10				
-1.77337	0.0147644	11	0.0378116	6.53855e-05	0.000471175
-2.85519	0.0185726	12	0.0742823	1.33E-004	0.000188652	
-2.48111	0.0166159	13	0.041		7.38815e-5	0.000475
-2.64294	0.0165189	14	0.0895048	1.57E-004	0.00218194	
-2.70561	0.0169447	15	0.0894731	1.49E-004	0.000281742	
-3.47155	0.0207286	16	0.0410897	8.34E-005	3.89E-004	
-2.81431	0.0175398	17	0.0641954	0.000117783	0.00108331	
-2.89638	0.0197538	18	0.0318495	6.06E-005	3.44E-005	
-3.90161	0.0211518	19	0.156664	0.000291269	0.000692499	
-4.57398	0.019327	20	0.0022816	3.66E-006	1.31E-007	
-3.0727	0.0198046	21	0.0269235	5.43E-005	0.000180818	
0	0	22				
-3.32174	0.0202578	23	0.0180861	3.39E-005	1.02E-005	
-3.55691	0.0204618	24	0.0394308	7.84018e-05	0.000352715	
-2.56623	0.017468	25	0.0574038	0.000107637	0.000912171	0.00042916
-3.14632	0.0198134	26	0.0929715	0.000186325	0.00212432	
-3.65413	0.0203724	27	0.054696	0.00010011	8.82E-005	
-0.490531	0.0184721	28	0.157552	3.64E-004	0.00142015	
-3.43569	0.01972		29	0.114596	0.000222	0.00304889	
-4.35383	0.0225584	30	0.00930218	1.89436e-5	1.69425e-5
-3.12937	0.0211168	31	0.0734164	0.000157079	0.00132924	
-1.37691	0.018435	32	0.0823383	1.86E-004	0.00245157	
-1.65479	0.0186783	33	0.0606385	0.000134484	0.00124535	
0	0	34				
-0.607661	0.0158892	35	0.0771526	0.000151255	0.00033097	
-1.77311	0.0182436	36	0.0110229	2.36E-005	4.00E-005	
-1.6829	0.0201429	37	0.0751062	0.000164957	0.000244952	
-1.7713		0.020549	38	0.0856326	0.000206145	0.0024174
-1.56E+000	0.0197172	39	0.0240056	5.68E-005	0.000199506	
0	0	40				
0	0	41				
0	0	42				
0	0	43				
0	0	44				
0	0	45				
0	0	46				
0	0	47				
-2.23786	0.0193191	48	0.214245	0.000425724	0.00177289	
-1.91016	0.0180407	49	0.166603	0.166603	0.00886099	
-1.694		0.0181004	50	0.032		6.8e-5		0.00034	
-1.51973	0.0157511	51	0.00690843	1.21E-005	2.15E-006	
-1.96166	0.018918	52	0.0312749	6.26E-005	4.00E-005	
-2.01841	0.018918	53	0.0314614	6.26E-005	4.00E-005	
-1.83838	0.0195911	54	0.0428842	9.01E-005	7.72E-005	
-2.01837	0.0188173	55	0.0892243	0.000176653	0.000321883	
-1.82881	0.0190835	56	0.0642739	0.000142751	0.00134421
-1.59985	0.0176546	57	0.0865192	0.000168061	0.00033097	
-1.58113	0.0195761	58	0.0430183	1.01E-004	6.38E-004	
-2.84895	0.020391	59	0.0188341	4.00E-005	9.26E-005	
-2.02513	0.0183139	60	0.0365232	7.61E-005	4.15E-004	
-1.66827	0.019272	61	0.130062	0.000273741	0.000736804	
-1.57028	0.0162017	62	0.279081	0.000499108	0.00346311	
-1.21897	0.0191675	63	0.0475995	0.000114103	0.000851331

