  Channel ID  TDC Events  ADC Events     TDC/ADC
           0           3          47   0.0638298
           1           0           0           0
           2           0           3           0
           3           0           6           0
           4           2          73   0.0273973
           5         388         396    0.979798
           6         346         351    0.985755
           7         200         254    0.787402
           8         461         470    0.980851
           9           0           0           0
          10         558         572    0.975524
          11         921         948    0.971519
          12        1036        1059    0.978281
          13         895         917    0.976009
          14        1561        1434     1.08856
          15        1071        2324    0.460843
          16         336         343    0.979592
          17         523         540    0.968519
          18         341         345    0.988406
          19         481         506    0.950593
          20         445         462    0.963203
          21         236         248    0.951613
          22           0         269           0
          23         267         275    0.970909
          24         682         535     1.27477
          25         160         161    0.993789
          26          74          85    0.870588
          27         121         123     0.98374
          28          89          76     1.17105
          29          23          24    0.958333
          30          22          23    0.956522
          31          21          21           1
          32       12117       24552    0.493524
          33       12137       24591    0.493555
          34       12137       24591    0.493555
          35       12135       24589    0.493513
          36       12137       24591    0.493555
          37       12137       24591    0.493555
          38       12228       24591    0.497255
          39       12275       24340    0.504314
          40       12137       24591    0.493555
          41       12137       24591    0.493555
          42         211         213     0.99061
          43       10200       21902    0.465711
          44       12137       24591    0.493555
          45       12137       24591    0.493555
          46       12300       24591    0.500183
          47       12555       24591    0.510553
          48       12533       24591    0.509658
          49       12563       24591    0.510878
          50       12358       24591    0.502542
          51       12138       24591    0.493595
          52       12690       24591    0.516042
          53       12137       24591    0.493555
          54       12501       24591    0.508357
          55       12137       24591    0.493555
          56       12303       24591    0.500305
          57       12510       24591    0.508723
          58       12202       24591    0.496198
          59       12137       24591    0.493555
          60       12201       24591    0.496157
          61       12156       24591    0.494327
          62       12137       24591    0.493555
          63       21284       24591     0.86552
