Data from phi0_circ_corrections
         X         Y        EX        EY
----------------------------------------
     25.39  6.62e-03      5.78      0.00
     29.96  5.43e-03      6.39      0.00
     34.68  4.88e-03      6.88      0.00
     39.48  5.15e-03      7.64      0.00
     45.23  6.21e-03      8.32      0.00
     51.17  8.00e-03      8.90      0.00
     57.37  1.12e-02      9.21      0.00
     63.84  1.02e-02      9.58      0.00
     69.91  7.04e-03      9.53      0.00
     76.26  5.71e-03      9.46      0.00
     82.52  5.38e-03      9.03      0.00
     88.03  0.00e+00      8.60      0.00
     93.33  3.69e-03      8.20      0.00
     98.71  4.39e-03      7.68      0.00
    103.86  3.98e-03      7.24      0.00
    109.09  3.40e-03      6.43      0.00
    117.34  0.00e+00      6.86      0.00
    121.95  0.00e+00      6.58      0.00
    126.29  0.00e+00      6.26      0.00
    130.32  1.92e-02      6.07      0.00
    134.86  1.49e-02      5.80      0.00
    138.66  4.76e-02      5.50      0.00
    142.27  6.25e-02      5.36      0.00
    146.04  4.76e-02      4.98      0.00
    149.31  0.00e+00      4.68      0.00
    151.91  7.69e-02      4.34      0.00
    155.10  7.14e-02      4.25      0.00
    157.73  7.46e-03      3.75      0.00
    159.87  1.25e-02      3.68      0.00
    162.17  7.69e-03      3.45      0.00
    164.13  6.90e-03      3.18      0.00
    166.17  5.38e-03      3.04      0.00
Data from phi90_circ_corrections
         X         Y        EX        EY
----------------------------------------
     26.30  0.00e+00      6.90      0.00
     30.35  0.00e+00      7.55      0.00
     35.03  0.00e+00      8.29      0.00
     40.14  0.00e+00      8.88      0.00
     45.52  0.00e+00      9.44      0.00
     51.10  5.62e-03      9.81      0.00
     57.07  6.54e-03     10.17      0.00
     62.88  5.32e-03     10.24      0.00
     69.17  4.78e-03     10.36      0.00
     75.20  3.77e-03      9.94      0.00
     81.44  3.50e-03      9.35      0.00
     87.28  2.13e-03      8.83      0.00
     92.71  5.78e-03      8.24      0.00
     98.12  2.85e-03      7.44      0.00
    103.23  2.51e-03      6.83      0.00
    108.62  2.98e-03      5.78      0.00
    118.08  6.85e-03      7.51      0.00
    122.24  0.00e+00      7.42      0.00
    126.67  1.14e-02      7.04      0.00
    130.60  1.16e-02      6.98      0.00
    134.53  2.04e-02      6.57      0.00
    138.59  1.96e-02      6.35      0.00
    142.12  0.00e+00      6.06      0.00
    145.70  0.00e+00      5.78      0.00
    148.84  0.00e+00      5.42      0.00
    152.16  0.00e+00      5.05      0.00
    154.67  5.56e-02      4.69      0.00
    157.36  0.00e+00      4.36      0.00
    159.80  0.00e+00      4.18      0.00
    162.11  0.00e+00      4.00      0.00
    164.03  0.00e+00      3.68      0.00
    165.97  0.00e+00      3.41      0.00
