b	m	index	ub	X-sq
-1.34114	0.0157	0	0.264603	
0	0	1		
0	0	2		
0	0	3		
0	0	4		
-1.43241	0.015345	5	0.0367911	
-1.65177	0.0181954	6	0.036882	
-1.80757	0.0179674	7	0.00380122	
0	0	8		
0	0	9		
-1.23097	0.0162136	10	0.108815	0.00056835
-1.02514	0.0145051	11	1.82E-002	1.67E-005
-1.72681	0.0181038	12	0.0170341	1.25E-005
-1.37703	0.016477	13	0.0293537	4.00E-005
-1.95522	0.0168649	14	0.0458833	8.63E-005
-1.85403	0.0168649	15	0.0453949	8.63E-005
-1.70076	0.0206079	16	0.0457064	9.04E-005
-1.70405	0.0172727	17	0.0560669	0.000135884
-1.78095	0.0199191	18	0.0140364	8.38E-006
-2.39059	0.0205421	19	0.196512	0.00144619
-2.02986	0.0191715	20	0.0126876	6.49E-006
-2.05288	0.0199744	21	0.0623413	0.000156019
0	0	22		
-1.84981	0.0201993	23	0.060458	0.000153142
-2.40805	0.0201429	24	0.0810047	0.000244952
-1.50584	0.0173126	25	0.117806	0.000626367
-2.22891	0.0193787	26	0.0777489	0.000234004
-1.53738	0.0197481	27	0.173856	0.00135447
-0.0778775	0.0190183	28	0.0214655	2.93E-005
-2.24347	0.0197959	29	0.0396142	0.00046556
-2.58406	0.0221256	30	0.053416	0.000786882
-1.96886	0.0215242	31	0.0777209	0.00190411
-1.61957	0.0187189	32	0.0524452	1.21E-004
-1.42609	0.018331	33	0.161518	0.00119824
0	0	34		
-0.630369	0.0159868	35	0.226369	0.00283153
-1.79123	0.0183131	36	0.019056	0.000119187
-1.34312	0.0195207	37	0.280101	0.00366857
-1.85686	0.0206649	38	0.124484	0.000648195
-1.57537	0.0197756	39	0.0981504	0.00332322
0	0	40		
0	0	41		
0	0	42		
0	0	43		
0	0	44		
0	0	45		
0	0	46		
0	0	47	0	0
-2.05957	0.0190132	48	0.178173	0.00127225
-1.85061	0.0179811	49	0.074722	0.00180768
-1.8357		0.0184404	50	0.0411		0.000549
-1.47513	0.0156818	51	0.0523778	0.000124679
-1.82016	0.0186704	52	0.0729022	0.00022408
-1.74663	0.0184721	53	0.182119	0.00142015
-1.88234	0.019698	54	0.105525	0.000463301
-1.94278	0.0187164	55	0.145228	0.000866279
-1.5881	0.0186152	56	0.193829	0.00166478
-1.53908	0.0175243	57	0.0978682	0.00042916
-1.4351	0.0193187	58	0.114277	0.00465635
-2.91941	0.0205544	59	0.029972	0.000231134
-2.06518	0.0183991	60	0.069669	1.50E-003
-1.35343	0.0186572	61	0.255942	0.00305646
-1.52716	0.0161047	62	0.0639479	0.00018372
-1.02953	0.0185198	63	0.47562	0.0113403

